codaNUM2018,REC,nClicks,Duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40,TagOnTime,Name,Whale,Coda,TsTo,Focal,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10,IPI11,IPI12,IPI13,IPI14,IPI15,IPI16,IPI17,IPI18,IPI19,IPI20,IPI21,IPI22,IPI23,IPI24,IPI25,IPI26,IPI27,IPI28,IPI29,IPI30,IPI31,IPI32,IPI33,IPI34,IPI35,IPI36,IPI37,IPI38,IPI39,IPI40,codaGroup ,average Pw,Pw1,Pw2,Pw3,Pw4,Pw5,Pw6,Pw7,Pw8,Pw9,Pw10,Pw11,Pw12,Pw13,Pw14,Pw15,Pw16,Pw17,Pw18,Pw19,Pw20,Pw21,Pw22,Pw23,Pw24,Pw25,Pw26,Pw27,Pw28,Pw29,Pw30,Pw31,Pw32,Pw33,Pw34,Pw35,Pw36,Pw37,Pw38,Pw39,Pw40,depth,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Roll,Pitch,Head
4931,sw061b001_124,17,0.9277916,0.03395,0.0361166,0.0488667,0.0489083,0.042275,0.0404834,0.040975,0.0396083,0.0421334,0.0416916,0.0445917,0.0517916,0.0650334,0.0868333,0.1188917,0.1456416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,1,126.0372,1,3.15,3.158333,3.125,3.116667,3.116667,3.133333,3.141667,3.141667,3.141667,3.125,3.125,3.116667,3.108333,3.108333,3.1,3.116667,3.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.71E-01,2.86E-01,3.01E-01,2.76E-01,2.19E-01,1.51E-01,1.47E-01,1.4E-01,1.31E-01,1.26E-01,1.25E-01,1.16E-01,1.17E-01,1.22E-01,1.34E-01,1.45E-01,1.7E-01,1.89E-01,1.89E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.852141067,0.315455877,0.5250648,0.781707794,9.509428601,5.964295758,-32.92314644,0.59147179,0.323243381,-0.950747814
4932,sw061b001_124,20,1.0929917,0.0328166,0.0393584,0.045325,0.0499333,0.0440834,0.0447833,0.0436833,0.04065,0.0421917,0.0428083,0.0418834,0.0419416,0.0459334,0.052375,0.0604833,0.0737667,0.0894916,0.1095167,0.1519667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,2,128.3256,1,3.15,3.15,3.141667,3.141667,3.141667,3.141667,3.158333,3.141667,3.141667,3.133333,3.125,3.125,3.116667,3.116667,3.108333,3.108333,3.1,3.1,3.108333,3.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.6E-01,3.64E-01,4.03E-01,4.06E-01,3.66E-01,3.41E-01,3.33E-01,5.39E-01,3.38E-01,3.25E-01,3.58E-01,3.72E-01,3.3E-01,3.21E-01,3.24E-01,3.07E-01,3.08E-01,3.38E-01,3.61E-01,3.61E-01,3.82E-01,3.82E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.542989037,0.085352746,0.437291746,0.740867062,18.87577383,10.2199468,-27.46604756,0.533214493,0.098889688,-0.835079846
4933,sw061b001_124,5,0.89825,0.27585,0.2867833,0.1974,0.1382167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,3,131.7476,1,3.141667,3.133333,3.158333,3.15,3.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.46E+00,2.24E+00,2.56E+00,2.49E+00,2.46E+00,2.51E+00,2.51E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.959320079,0.003396852,-0.070684567,0.997620353,18.18226325,23.13193057,-18.18191697,-0.070734964,0.003396427,-0.873577842
4934,sw061b001_124,5,0.865575,0.262275,0.2768833,0.1833333,0.1430834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,4,135.5877,1,3.041667,3.083333,3.075,3.1,3.091667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.09E+00,3.16E+00,3.06E+00,3.03E+00,3.16E+00,3.06E+00,3.06E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.335686796,-0.060779126,-0.255104067,0.971328961,19.62461051,26.14587474,-11.07585492,-0.256833743,-0.06044698,-0.881030533
4935,sw061b001_124,5,0.8583166,0.266675,0.2693583,0.178325,0.1439583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,5,139.5217,1,3.141667,3.133333,3.158333,3.125,3.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.7E+00,2.67E+00,2.6E+00,2.64E+00,2.71E+00,2.8E+00,2.8E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.526602603,0.125953331,0.227830344,0.953622968,19.87358874,12.92844597,-25.52815587,0.234514369,0.127763645,-0.688482504
4936,sw061b001_124,5,0.8619416,0.2686583,0.2851417,0.1784083,0.1297333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,6,142.7881,1,3.15,3.133333,3.141667,3.133333,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.03E+00,3.29E+00,3.28E+00,3.06E+00,2.95E+00,2.8E+00,2.8E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88105758,-0.158551928,-0.360909488,0.938473992,22.69684401,24.88877393,-7.407858043,-0.367134804,-0.156400038,-0.800694016
4937,sw061b001_124,5,0.838825,0.2522667,0.2530833,0.1827334,0.1507416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,7,145.8571,1,3.133333,3.108333,3.125,3.133333,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.02E+00,2.65E+00,3E+00,3.14E+00,3.12E+00,3.1E+00,3.1E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.447049594,-0.508729604,-0.558789085,0.617056008,21.46217067,25.71802733,7.50596494,-0.735885433,-0.548548542,-1.101788428
4938,sw061b001_124,5,0.8447333,0.2584333,0.2746417,0.174025,0.1376333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,8,149.3956,1,3.1,3.108333,3.116667,3.125,3.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.98E+00,3.34E+00,2.93E+00,2.91E+00,2.88E+00,2.91E+00,2.91E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.078974975,-0.382062969,-0.623292595,0.675226858,19.83562829,27.36168573,5.980186599,-0.745424485,-0.394027884,-1.081115305
4961,sw061b001_124,4,0.8711697,0.2998227,0.2965137,0.2748333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,1,149.4538,0,1.05,1.125,1.15,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.33E-02,1.17E-02,1.59E-02,1.29E-02,1.31E-02,1.31E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.102060691,-0.383457691,-0.627052597,0.672101154,19.98325496,27.29696461,5.892595964,-0.750736743,-0.395218195,-1.07619299
4962,sw061b001_124,5,0.967213,0.3213012,0.3016214,0.3031725,0.0411179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,2,152.8085,0,3.2,3.175,3.183333,2.316667,3.133333,3.133333,3.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.68E+01,4.33E-02,4.24E-02,7.24E-02,7.39E-02,5.03E+01,5.03E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.329837774,-0.166095843,-0.520529991,0.814248783,14.63623781,30.92308903,-1.804641634,-0.568799651,-0.170205639,-1.145989009
